Country;Growth rate per annum 2016.1;Growth rate per annum 2005-15;Share 2016.2;Year;Coal Consumption (Mtoe)
Czech Republic;0.0165334328673;-0.0197850728486;0.00452848523855;1965;35.326
Norway;-0.00086963598565;0.0126859125;0.000219928144361;1965;0.763321
Poland;5.38485991628e-05;-0.0123617498132;0.0130780525506;1965;59.481
Portugal;-0.119111420987;-0.00231745571362;0.000771436549257;1965;0.592
Israel;-0.1549140116;-0.0161397093241;0.00153206894174;1965;0.0
Qatar;0.0;0;0.0;1965;0.0
Algeria;0.0;-0.132124147807;3.86909377994e-05;1965;0.07
Australia;-0.00908257619881;-0.0158819736564;0.0117381028831;1965;17.3712620617
China;-0.0163160516748;0.0374734655832;0.505774915218;1965;114.42
Malaysia;0.175684346605;0.0937524852433;0.00533192697912;1965;0.015
Taiwan;0.0166169161165;0.00692657047209;0.0103342616931;1965;2.985
Venezuela;-0.664134585658;0.183669077472;1.81387804332e-05;1966;0.021
Czech Republic;0.0165334328673;-0.0197850728486;0.00452848523855;1966;35.222
Finland;0.0795318897561;-0.0223017417173;0.00109810277354;1966;1.616899
Norway;-0.00086963598565;0.0126859125;0.000219928144361;1966;0.70281
Romania;-0.0888050668129;-0.0388247956456;0.00144800066482;1966;4.695230375
Spain;-0.239115158165;-0.0396606255088;0.00279796472751;1966;8.974
Sweden;0.0600906335947;-0.021451470504;0.000602819782216;1966;2.127293
United Kingdom;-0.524534792086;-0.0474654354249;0.00294025079347;1966;111.73
Other Middle East;-0.000120618275404;0.132428254935;0.000127602324937;1966;0.00624650963695
Taiwan;0.0166169161165;0.00692657047209;0.0103342616931;1966;2.969
Colombia;-0.139721787745;0.147885505613;0.00122847594321;1967;2.21
Other S. & Cent. America;0.0537230985371;0.0485860446224;0.000906767207198;1967;0.0856553140232
Italy;-0.118781259954;-0.0287087514672;0.00291253323667;1967;9.832
Australia;-0.00908257619881;-0.0158819736564;0.0117381028831;1967;18.5081685297
Malaysia;0.175684346605;0.0937524852433;0.00533192697912;1967;0.012
Other S. & Cent. America;0.0537230985371;0.0485860446224;0.000906767207198;1968;0.0780855535145
France;-0.010844501586;-0.0460232119106;0.0022281666752;1968;36.3852837258
Greece;-0.167280140027;-0.0456366075609;0.00125438184477;1968;2.27
Bangladesh;0.16973782862;0.0372093529425;0.000217760622036;1968;0.0
European Union #;-0.0894687011092;-0.0190480330175;0.0638895332813;1968;480.431887643
Brazil;-0.0679750843541;0.0312695931968;0.00442626001313;1969;2.134
Chile;0.122766024151;0.102452435823;0.00220625312068;1969;1.2
Canada;-0.0519033188208;-0.0416143063154;0.0050045363605;1970;16.928
Slovakia;-0.0496902673913;-0.0252663961555;0.000836301769596;1970;6.5755177198
Iran;0.0425008436721;0.00500493953075;0.000458321737824;1970;0.343
United Arab Emirates;0.0;0.241399267969;0.000339632824762;1970;0.0
South Africa;0.0182933628412;0.00412582185975;0.0228048674762;1970;27.352
India;0.0359940327055;0.0649945458839;0.110383033752;1970;37.558802817
Malaysia;0.175684346605;0.0937524852433;0.00533192697912;1970;0.016
Taiwan;0.0166169161165;0.00692657047209;0.0103342616931;1970;2.724
Other Asia Pacific;0.212825766898;-0.022657957517;0.00551216769964;1970;16.0984666184
US;-0.0877264090609;-0.0375393468003;0.0960426032543;1971;292.275040762
Switzerland;0.0;-0.0109550435376;3.47185668943e-05;1971;0.440670679278
United Arab Emirates;0.0;0.241399267969;0.000339632824762;1971;0.0
Algeria;0.0;-0.132124147807;3.86909377994e-05;1971;0.023
Australia;-0.00908257619881;-0.0158819736564;0.0117381028831;1971;19.9973726951
Taiwan;0.0166169161165;0.00692657047209;0.0103342616931;1971;2.419
European Union #;-0.0894687011092;-0.0190480330175;0.0638895332813;1971;455.956173931
CIS;-0.00905838030843;-0.00154917800911;0.0422996133566;1971;0.0
US;-0.0877264090609;-0.0375393468003;0.0960426032543;1972;304.333189129
Finland;0.0795318897561;-0.0223017417173;0.00109810277354;1972;2.23848762778
Netherlands;-0.0697936299088;0.0312171396339;0.00275197695009;1972;2.96168911818
Slovakia;-0.0496902673913;-0.0252663961555;0.000836301769596;1972;7.021
Saudi Arabia;0.0;0.135340046564;2.67447830993e-05;1972;0.0
Other Middle East;-0.000120618275404;0.132428254935;0.000127602324937;1972;0.006302
South Africa;0.0182933628412;0.00412582185975;0.0228048674762;1972;29.4569775572
Bangladesh;0.16973782862;0.0372093529425;0.000217760622036;1972;0.093464
China Hong Kong SAR;-0.00280691710327;-0.00248318295241;0.0017946921289;1972;0.013
Indonesia;0.222283462094;0.0769875959617;0.016800256446;1972;0.1
Japan;-0.002306025827;0.0050145403181;0.0321379899979;1972;53.5788
Taiwan;0.0166169161165;0.00692657047209;0.0103342616931;1972;2.304
CIS;-0.00905838030843;-0.00154917800911;0.0422996133566;1972;0.0
Mexico;-0.229082575174;0.010178880839;0.00262972107157;1973;1.60038693035
Colombia;-0.139721787745;0.147885505613;0.00122847594321;1973;1.845686
Venezuela;-0.664134585658;0.183669077472;1.81387804332e-05;1973;0.272413
Austria;-0.0229010467692;-0.0208387149297;0.00085092196241;1973;3.96988153244
Czech Republic;0.0165334328673;-0.0197850728486;0.00452848523855;1973;37.283
Hungary;-0.0358968587907;-0.0245951449789;0.000612116360571;1973;8.738
Ireland;-0.00706820233222;-0.0198977354988;0.000583056593314;1973;1.863
Italy;-0.118781259954;-0.0287087514672;0.00291253323667;1973;9.003
